Year,Region,Technology,Value,Type
2050,DK,HB_Oil_Boiler,0.0,NewCapacity
2020,FR,HB_Oil_Boiler,0.0,NewCapacity
2030,FR,HB_Oil_Boiler,0.0,NewCapacity
2040,FR,HB_Oil_Boiler,0.0,NewCapacity
2050,FR,HB_Oil_Boiler,0.0,NewCapacity
2020,NO,HB_Oil_Boiler,0.0,NewCapacity
2030,NO,HB_Oil_Boiler,0.0,NewCapacity
2040,NO,HB_Oil_Boiler,0.0,NewCapacity
2050,NO,HB_Oil_Boiler,0.0,NewCapacity
2020,UK,HB_Oil_Boiler,0.0,NewCapacity
2030,UK,HB_Oil_Boiler,0.0,NewCapacity
2040,UK,HB_Oil_Boiler,0.0,NewCapacity
2050,UK,HB_Oil_Boiler,0.0,NewCapacity
2020,DE,HB_Solar_Thermal,0.0,NewCapacity
2030,DE,HB_Solar_Thermal,0.0,NewCapacity
2040,DE,HB_Solar_Thermal,0.0,NewCapacity
2050,DE,HB_Solar_Thermal,0.0,NewCapacity
2020,DK,HB_Solar_Thermal,0.0,NewCapacity
2030,DK,HB_Solar_Thermal,0.0,NewCapacity
2040,DK,HB_Solar_Thermal,0.0,NewCapacity
2050,DK,HB_Solar_Thermal,0.0,NewCapacity
2020,FR,HB_Solar_Thermal,0.0,NewCapacity
2030,FR,HB_Solar_Thermal,0.0,NewCapacity
2040,FR,HB_Solar_Thermal,0.0,NewCapacity
2050,FR,HB_Solar_Thermal,0.0,NewCapacity
2020,NO,HB_Solar_Thermal,0.0,NewCapacity
2030,NO,HB_Solar_Thermal,0.0,NewCapacity
2040,NO,HB_Solar_Thermal,0.0,NewCapacity
2050,NO,HB_Solar_Thermal,0.0,NewCapacity
2020,UK,HB_Solar_Thermal,0.0,NewCapacity
2030,UK,HB_Solar_Thermal,0.0,NewCapacity
2040,UK,HB_Solar_Thermal,0.0,NewCapacity
2050,UK,HB_Solar_Thermal,0.0,NewCapacity
2020,DE,P_Biomass,0.0,NewCapacity
