Year,From,To,Hour,Fuel,Value,Technology
2030,UK,NO,72,Power,0.0,Import
2030,UK,NO,72,Gas,0.0,Import
2030,UK,NO,72,H2,0.0,Import
2030,UK,NO,73,Power,0.0,Import
2030,UK,NO,73,Gas,0.0,Import
2030,UK,NO,73,H2,0.0,Import
2030,UK,NO,74,Power,0.0,Import
2030,UK,NO,74,Gas,0.0,Import
2030,UK,NO,74,H2,0.0,Import
2030,UK,NO,75,Power,0.0,Import
2030,UK,NO,75,Gas,0.0,Import
2030,UK,NO,75,H2,0.0,Import
2030,UK,NO,76,Power,0.0,Import
2030,UK,NO,76,Gas,0.0,Import
2030,UK,NO,76,H2,0.0,Import
2030,UK,NO,77,Power,0.0,Import
2030,UK,NO,77,Gas,0.0,Import
2030,UK,NO,77,H2,0.0,Import
2030,UK,NO,78,Power,0.0,Import
2030,UK,NO,78,Gas,0.0,Import
2030,UK,NO,78,H2,0.0,Import
2030,UK,NO,79,Power,0.0,Import
2030,UK,NO,79,Gas,0.0,Import
2030,UK,NO,79,H2,0.0,Import
2030,UK,NO,80,Power,0.0,Import
2030,UK,NO,80,Gas,0.0,Import
2030,UK,NO,80,H2,0.0,Import
2030,UK,NO,81,Power,0.0,Import
2030,UK,NO,81,Gas,0.0,Import
2030,UK,NO,81,H2,0.0,Import
2030,UK,NO,82,Power,0.0,Import
2030,UK,NO,82,Gas,0.0,Import
2030,UK,NO,82,H2,0.0,Import
2030,UK,NO,83,Power,0.0,Import
2030,UK,NO,83,Gas,0.0,Import
2030,UK,NO,83,H2,0.0,Import
2030,UK,NO,84,Power,0.0,Import
2030,UK,NO,84,Gas,0.0,Import
2030,UK,NO,84,H2,0.0,Import
2030,UK,NO,85,Power,0.0,Import
2030,UK,NO,85,Gas,0.0,Import
2030,UK,NO,85,H2,0.0,Import
2030,UK,NO,86,Power,0.0,Import
2030,UK,NO,86,Gas,0.0,Import
2030,UK,NO,86,H2,0.0,Import
2030,UK,NO,87,Power,0.0,Import
2030,UK,NO,87,Gas,0.0,Import
2030,UK,NO,87,H2,0.0,Import
2030,UK,NO,88,Power,0.0,Import
2030,UK,NO,88,Gas,0.0,Import
2030,UK,NO,88,H2,0.0,Import
2030,UK,NO,89,Power,0.0,Import
2030,UK,NO,89,Gas,0.0,Import
2030,UK,NO,89,H2,0.0,Import
2030,UK,NO,90,Power,0.0,Import
2030,UK,NO,90,Gas,0.0,Import
2030,UK,NO,90,H2,0.0,Import
2030,UK,NO,91,Power,0.0,Import
2030,UK,NO,91,Gas,0.0,Import
2030,UK,NO,91,H2,0.0,Import
2030,UK,NO,92,Power,0.0,Import
2030,UK,NO,92,Gas,0.0,Import
2030,UK,NO,92,H2,0.0,Import
2030,UK,NO,93,Power,0.0,Import
2030,UK,NO,93,Gas,0.0,Import
2030,UK,NO,93,H2,0.0,Import
2030,UK,NO,94,Power,0.0,Import
2030,UK,NO,94,Gas,0.0,Import
2030,UK,NO,94,H2,0.0,Import
2030,UK,NO,95,Power,0.0,Import
2030,UK,NO,95,Gas,0.0,Import
2030,UK,NO,95,H2,0.0,Import
2030,UK,NO,96,Power,0.0,Import
2030,UK,NO,96,Gas,0.0,Import
2030,UK,NO,96,H2,0.0,Import
2030,UK,NO,97,Power,0.0,Import
2030,UK,NO,97,Gas,0.0,Import
2030,UK,NO,97,H2,0.0,Import
2030,UK,NO,98,Power,0.0,Import
2030,UK,NO,98,Gas,0.0,Import
2030,UK,NO,98,H2,0.0,Import
2030,UK,NO,99,Power,0.0,Import
2030,UK,NO,99,Gas,0.0,Import
2030,UK,NO,99,H2,0.0,Import
2030,UK,NO,100,Power,0.0,Import
2030,UK,NO,100,Gas,0.0,Import
2030,UK,NO,100,H2,0.0,Import
2030,UK,NO,101,Power,0.0,Import
2030,UK,NO,101,Gas,0.0,Import
2030,UK,NO,101,H2,0.0,Import
2030,UK,NO,102,Power,0.0,Import
2030,UK,NO,102,Gas,0.0,Import
2030,UK,NO,102,H2,0.0,Import
2030,UK,NO,103,Power,0.0,Import
2030,UK,NO,103,Gas,0.0,Import
2030,UK,NO,103,H2,0.0,Import
2030,UK,NO,104,Power,0.0,Import
2030,UK,NO,104,Gas,0.0,Import
2030,UK,NO,104,H2,0.0,Import
2030,UK,NO,105,Power,0.0,Import
2030,UK,NO,105,Gas,0.0,Import
2030,UK,NO,105,H2,0.0,Import
2030,UK,NO,106,Power,0.0,Import
2030,UK,NO,106,Gas,0.0,Import
2030,UK,NO,106,H2,0.0,Import
2030,UK,NO,107,Power,0.0,Import
2030,UK,NO,107,Gas,0.0,Import
2030,UK,NO,107,H2,0.0,Import
2030,UK,NO,108,Power,0.0,Import
2030,UK,NO,108,Gas,0.0,Import
2030,UK,NO,108,H2,0.0,Import
2030,UK,NO,109,Power,0.0,Import
2030,UK,NO,109,Gas,0.0,Import
2030,UK,NO,109,H2,0.0,Import
2030,UK,NO,110,Power,0.0,Import
2030,UK,NO,110,Gas,0.0,Import
2030,UK,NO,110,H2,0.0,Import
2030,UK,NO,111,Power,0.0,Import
2030,UK,NO,111,Gas,0.0,Import
2030,UK,NO,111,H2,0.0,Import
2030,UK,NO,112,Power,0.0,Import
2030,UK,NO,112,Gas,0.0,Import
2030,UK,NO,112,H2,0.0,Import
2030,UK,NO,113,Power,0.0,Import
2030,UK,NO,113,Gas,0.0,Import
2030,UK,NO,113,H2,0.0,Import
2030,UK,NO,114,Power,0.0,Import
2030,UK,NO,114,Gas,0.0,Import
2030,UK,NO,114,H2,0.0,Import
2030,UK,NO,115,Power,0.0,Import
2030,UK,NO,115,Gas,0.0,Import
2030,UK,NO,115,H2,0.0,Import
2030,UK,NO,116,Power,0.0,Import
2030,UK,NO,116,Gas,0.0,Import
2030,UK,NO,116,H2,0.0,Import
2030,UK,NO,117,Power,0.0,Import
2030,UK,NO,117,Gas,0.0,Import
2030,UK,NO,117,H2,0.0,Import
2030,UK,NO,118,Power,0.0,Import
2030,UK,NO,118,Gas,0.0,Import
2030,UK,NO,118,H2,0.0,Import
2030,UK,NO,119,Power,0.0,Import
2030,UK,NO,119,Gas,0.0,Import
2030,UK,NO,119,H2,0.0,Import
2030,UK,NO,120,Power,0.0,Import
2030,UK,NO,120,Gas,0.0,Import
2030,UK,NO,120,H2,0.0,Import
2030,FR,UK,1,Power,277.4,Import
2030,FR,UK,1,H2,237.81990741666664,Import
2030,FR,UK,2,Power,277.4,Import
2030,FR,UK,2,H2,237.81990741666664,Import
2030,FR,UK,3,Power,277.4,Import
2030,FR,UK,3,H2,237.81990741666664,Import
2030,FR,UK,4,Power,277.4,Import
2030,FR,UK,4,H2,237.81990741666664,Import
2030,FR,UK,5,Power,277.4,Import
2030,FR,UK,5,H2,237.81990741666664,Import
2030,FR,UK,6,Power,277.4,Import
2030,FR,UK,6,H2,171.8056534639736,Import
2030,FR,UK,7,Power,277.4,Import
2030,FR,UK,7,H2,237.81990741666664,Import
2030,FR,UK,8,Power,277.4,Import
2030,FR,UK,8,H2,237.81990741666664,Import
2030,FR,UK,9,Power,277.4,Import
2030,FR,UK,9,H2,237.81990741666664,Import
2030,FR,UK,10,Power,277.4,Import
2030,FR,UK,10,H2,237.2281028302854,Import
2030,FR,UK,11,Power,277.4,Import
2030,FR,UK,11,H2,237.81990741666664,Import
2030,FR,UK,12,Power,277.4,Import
2030,FR,UK,12,H2,237.81990741666664,Import
2030,FR,UK,13,Power,277.4,Import
2030,FR,UK,13,H2,18.819907416666638,Import
2030,FR,UK,14,Power,277.4,Import
2030,FR,UK,14,H2,237.81990741666664,Import
2030,FR,UK,15,Power,277.4,Import
2030,FR,UK,15,H2,237.81990741666664,Import
2030,FR,UK,16,Power,277.4,Import
2030,FR,UK,16,H2,237.81990741666664,Import
2030,FR,UK,17,Power,277.4,Import
2030,FR,UK,17,H2,237.81990741666664,Import
2030,FR,UK,18,Power,277.4,Import
2030,FR,UK,18,H2,237.81990741666664,Import
2030,FR,UK,19,Power,277.4,Import
2030,FR,UK,19,H2,237.81990741666664,Import
2030,FR,UK,20,Power,277.4,Import
2030,FR,UK,20,H2,237.81990741666664,Import
2030,FR,UK,21,Power,277.4,Import
2030,FR,UK,21,H2,237.81990741666664,Import
2030,FR,UK,22,Power,277.4,Import
2030,FR,UK,22,H2,237.81990741666664,Import
